session,party,name,bioguide_id,oppose_any,support_any,local_topic,total_posts
115,Democratic Party,Sherrod Brown,B000944,0.22,0.04,0.31,675
115,Democratic Party,Maria Cantwell,C000127,0.43,0.07,0.28,274
115,Democratic Party,Benjamin L. 'Ben' Cardin,C000141,0.49,0.17,0.27,94
115,Democratic Party,Thomas Richard 'Tom' Carper,C000174,0.26,0.07,0.61,291
115,Democratic Party,Robert Patrick 'Bob' Casey Jr.,C001070,0.44,0.09,0.26,363
115,Republican Party,Bob Corker,C001071,0.03,0.21,0.52,432
115,Democratic Party,Dianne Feinstein,F000062,0.43,0.10,0.14,182
115,Republican Party,Orrin G. Hatch,H000338,0.08,0.16,0.42,243
115,Democratic Party,Amy Jean Klobuchar,K000367,0.15,0.03,0.44,384
115,Democratic Party,Claire McCaskill,M001170,0.18,0.11,0.45,240
115,Democratic Party,Robert 'Bob' Menendez,M000639,0.40,0.06,0.25,540
115,Democratic Party,Bill Nelson,N000032,0.24,0.04,0.32,226
115,Democratic Party,Bernard 'Bernie' Sanders,S000033,0.58,0.08,0.10,2618
115,Democratic Party,Debbie Ann Stabenow,S000770,0.28,0.05,0.56,591
115,Democratic Party,Jon Tester,T000464,0.12,0.02,0.48,859
115,Democratic Party,Sheldon Whitehouse,W000802,0.34,0.10,0.34,437
115,Republican Party,John A. Barrasso,B001261,0.17,0.22,0.47,203
115,Republican Party,Roger F. Wicker,W000437,0.12,0.32,0.19,576
115,Republican Party,Lamar Alexander,A000360,0.15,0.12,0.54,169
115,Republican Party,Susan M. Collins,C001035,0.00,0.03,0.65,370
115,Republican Party,John Cornyn,C001056,0.12,0.15,0.43,304
115,Democratic Party,Richard J. 'Dick' Durbin,D000563,0.55,0.12,0.17,711
115,Republican Party,Michael Bradley 'Mike' Enzi,E000285,0.10,0.14,0.41,247
115,Republican Party,Lindsey Olin Graham,G000359,0.14,0.34,0.36,314
115,Republican Party,James M. 'Jim' Inhofe,I000024,0.13,0.34,0.40,222
